source_route,element,attribute,label,raw_url,resolved_url,type,status,final_url,fragment,target_route,owner
"/404/","link","href","canonical","https://hardmagic.com/404/","https://hardmagic.com/404/","metadata","ok","https://hardmagic.com/404/","","/404/","seo"
"/404/","link","href","icon","favicon.svg","https://hardmagic.com/favicon.svg","asset","asset-ok","https://hardmagic.com/favicon.svg","","/favicon.svg/","site-build"
"/404/","link","href","stylesheet","/assets/BaseLayout.DotBEs6i.css","https://hardmagic.com/assets/BaseLayout.DotBEs6i.css","asset","asset-ok","https://hardmagic.com/assets/BaseLayout.DotBEs6i.css","","/assets/BaseLayout.DotBEs6i.css/","site-build"
"/404/","a","href","Skip to content","/404/#main","https://hardmagic.com/404/#main","internal","ok","https://hardmagic.com/404/#main","main","/404/","route-owner"
"/404/","a","href","HardMagic home","./","https://hardmagic.com/","internal","ok","https://hardmagic.com/","","/","route-owner"
"/404/","img","src","HardMagic","/assets/hardmagic-wordmark.3FJu5chC.svg","https://hardmagic.com/assets/hardmagic-wordmark.3FJu5chC.svg","asset","asset-ok","https://hardmagic.com/assets/hardmagic-wordmark.3FJu5chC.svg","","/assets/hardmagic-wordmark.3FJu5chC.svg/","site-build"
"/404/","a","href","Selected creative practice Brands, campaigns, images, experiences, and intelligent media built to leave a mark. Explore →","portfolio/","https://hardmagic.com/portfolio/","internal","ok","https://hardmagic.com/portfolio/","","/portfolio/","route-owner"
"/404/","a","href","Human + agent loop Intent to evidence","methods/human-agent-creative-loop/","https://hardmagic.com/methods/human-agent-creative-loop/","internal","ok","https://hardmagic.com/methods/human-agent-creative-loop/","","/methods/human-agent-creative-loop/","route-owner"
"/404/","a","href","Agent handoff","products/wiremark/agent-handoff/","https://hardmagic.com/products/wiremark/agent-handoff/","internal","ok","https://hardmagic.com/products/wiremark/agent-handoff/","","/products/wiremark/agent-handoff/","route-owner"
"/404/","a","href","Agent skills","products/cli/agent-skills/","https://hardmagic.com/products/cli/agent-skills/","internal","ok","https://hardmagic.com/products/cli/agent-skills/","","/products/cli/agent-skills/","route-owner"
"/404/","a","href","GenAI production","insights/from-prompting-to-production-systems/","https://hardmagic.com/insights/from-prompting-to-production-systems/","internal","ok","https://hardmagic.com/insights/from-prompting-to-production-systems/","","/insights/from-prompting-to-production-systems/","route-owner"
"/404/","a","href","HardMagic Studio Multimodal production","products/studio/","https://hardmagic.com/products/studio/","internal","ok","https://hardmagic.com/products/studio/","","/products/studio/","route-owner"
"/404/","a","href","WireMark Canvas to source","products/wiremark/","https://hardmagic.com/products/wiremark/","internal","ok","https://hardmagic.com/products/wiremark/","","/products/wiremark/","route-owner"
"/404/","a","href","HardMagic Agent (CLI)","products/cli/","https://hardmagic.com/products/cli/","internal","ok","https://hardmagic.com/products/cli/","","/products/cli/","route-owner"
"/404/","a","href","Web Magic","products/web-magic/","https://hardmagic.com/products/web-magic/","internal","ok","https://hardmagic.com/products/web-magic/","","/products/web-magic/","route-owner"
"/404/","a","href","State Parks Documentary · place","portfolio/state-parks/","https://hardmagic.com/portfolio/state-parks/","internal","ok","https://hardmagic.com/portfolio/state-parks/","","/portfolio/state-parks/","route-owner"
"/404/","a","href","FashionX Art direction · production","portfolio/fashionx/","https://hardmagic.com/portfolio/fashionx/","internal","ok","https://hardmagic.com/portfolio/fashionx/","","/portfolio/fashionx/","route-owner"
"/404/","a","href","Pranashama Brand · editorial commerce","portfolio/pranashama/","https://hardmagic.com/portfolio/pranashama/","internal","ok","https://hardmagic.com/portfolio/pranashama/","","/portfolio/pranashama/","route-owner"
"/404/","a","href","Tao Cottage Experience · hospitality","portfolio/tao-cottage/","https://hardmagic.com/portfolio/tao-cottage/","internal","ok","https://hardmagic.com/portfolio/tao-cottage/","","/portfolio/tao-cottage/","route-owner"
"/404/","a","href","FocusPass","portfolio/focuspass/","https://hardmagic.com/portfolio/focuspass/","internal","ok","https://hardmagic.com/portfolio/focuspass/","","/portfolio/focuspass/","route-owner"
"/404/","a","href","Pedadida","portfolio/pedadida/","https://hardmagic.com/portfolio/pedadida/","internal","ok","https://hardmagic.com/portfolio/pedadida/","","/portfolio/pedadida/","route-owner"
"/404/","a","href","Airikai","portfolio/airikai/","https://hardmagic.com/portfolio/airikai/","internal","ok","https://hardmagic.com/portfolio/airikai/","","/portfolio/airikai/","route-owner"
"/404/","a","href","Taolo","portfolio/taolo/","https://hardmagic.com/portfolio/taolo/","internal","ok","https://hardmagic.com/portfolio/taolo/","","/portfolio/taolo/","route-owner"
"/404/","a","href","View all work →","portfolio/","https://hardmagic.com/portfolio/","internal","ok","https://hardmagic.com/portfolio/","","/portfolio/","route-owner"
